user_id,activity_date,action_type
U0007,2024-01-13,login
U0007,2024-01-14,login
U0007,2024-01-17,view_offers
U0007,2024-01-20,view_offers
U0007,2024-01-21,login
U0007,2024-01-23,login
U0007,2024-01-25,login
U0007,2024-01-26,login
U0007,2024-01-28,login
U0007,2024-01-29,login
U0008,2024-01-01,login
U0008,2024-01-03,login
U0008,2024-01-04,login
U0008,2024-01-05,login
U0008,2024-01-08,login
U0008,2024-01-12,login
U0008,2024-01-13,view_offers
U0008,2024-01-14,login
U0008,2024-01-16,transaction
U0008,2024-01-17,login
U0008,2024-01-18,view_offers
U0008,2024-01-19,view_offers
U0008,2024-01-20,login
U0008,2024-01-21,login
U0008,2024-01-25,view_offers
U0008,2024-01-27,login
U0008,2024-01-29,transaction
U0008,2024-01-30,login
U0009,2024-01-02,view_offers
U0009,2024-01-03,login
U0009,2024-01-05,view_offers
U0009,2024-01-07,view_offers
U0009,2024-01-08,login
U0009,2024-01-11,transaction
U0009,2024-01-12,login
U0009,2024-01-15,login
U0009,2024-01-17,login
U0009,2024-01-18,login
U0009,2024-01-19,transaction
U0009,2024-01-20,login
U0009,2024-01-21,login
U0009,2024-01-22,login
U0009,2024-01-23,login
U0009,2024-01-24,login
U0009,2024-01-25,login
U0009,2024-01-26,login
U0009,2024-01-27,transaction
U0009,2024-01-28,login
U0009,2024-01-30,login
U0010,2024-01-02,transaction
U0010,2024-01-04,view_offers
U0010,2024-01-05,view_offers
U0010,2024-01-07,login
U0010,2024-01-11,login
U0010,2024-01-12,login
U0010,2024-01-15,view_offers
U0010,2024-01-16,login
U0010,2024-01-18,login
U0010,2024-01-20,view_offers
U0010,2024-01-21,login
U0010,2024-01-22,login
U0010,2024-01-25,login
U0010,2024-01-26,login
U0010,2024-01-28,login
U0011,2024-01-08,login
U0011,2024-01-13,login
U0011,2024-01-20,view_offers
U0011,2024-01-22,login
U0011,2024-01-25,transaction
U0011,2024-01-29,view_offers
U0012,2024-01-02,login
U0012,2024-01-03,view_offers
U0012,2024-01-08,login
U0012,2024-01-11,view_offers
U0012,2024-01-12,login
U0012,2024-01-15,login
U0012,2024-01-18,login
U0012,2024-01-19,login
U0012,2024-01-20,view_offers
U0012,2024-01-21,view_offers
U0012,2024-01-22,login
U0012,2024-01-24,login
U0012,2024-01-27,login
U0012,2024-01-28,login
U0012,2024-01-29,login
U0012,2024-01-30,transaction
U0013,2024-01-01,login
U0013,2024-01-03,login
U0013,2024-01-05,login
U0013,2024-01-06,transaction
U0013,2024-01-12,view_offers
U0013,2024-01-13,login
U0013,2024-01-16,transaction
U0013,2024-01-17,login
U0013,2024-01-18,transaction
U0013,2024-01-20,login
U0013,2024-01-21,login
U0013,2024-01-22,view_offers
U0013,2024-01-23,view_offers
U0013,2024-01-24,view_offers
U0013,2024-01-25,transaction
U0013,2024-01-30,view_offers
U0014,2024-01-02,view_offers
U0014,2024-01-04,login
U0014,2024-01-05,login
U0014,2024-01-06,login
U0014,2024-01-07,login
U0014,2024-01-08,login
U0014,2024-01-10,login
U0014,2024-01-12,view_offers
U0014,2024-01-13,view_offers
U0014,2024-01-14,login
U0014,2024-01-17,transaction
U0014,2024-01-18,login
U0014,2024-01-19,login
U0014,2024-01-20,transaction
U0014,2024-01-23,login
U0014,2024-01-24,transaction
U0014,2024-01-26,login
U0014,2024-01-28,login
U0014,2024-01-29,login
U0015,2024-01-01,view_offers
U0015,2024-01-03,view_offers
U0015,2024-01-05,login
U0015,2024-01-06,login
U0015,2024-01-07,transaction
U0015,2024-01-10,view_offers
U0015,2024-01-12,transaction
U0015,2024-01-13,view_offers
U0015,2024-01-14,login
U0015,2024-01-18,view_offers
U0015,2024-01-19,transaction
U0015,2024-01-21,login
U0015,2024-01-26,view_offers
U0015,2024-01-28,login
U0015,2024-01-29,login
U0015,2024-01-30,view_offers
U0016,2024-01-01,view_offers
U0016,2024-01-02,login
U0016,2024-01-03,login
U0016,2024-01-04,view_offers
U0016,2024-01-05,login
U0016,2024-01-06,login
U0016,2024-01-07,view_offers
U0016,2024-01-09,view_offers
U0016,2024-01-10,login
U0016,2024-01-11,view_offers
U0016,2024-01-12,view_offers
U0016,2024-01-13,login
U0016,2024-01-14,transaction
U0016,2024-01-15,view_offers
U0016,2024-01-17,view_offers
U0016,2024-01-18,view_offers
U0016,2024-01-19,login
U0016,2024-01-20,login
U0016,2024-01-21,login
U0016,2024-01-22,login
U0016,2024-01-23,login
U0016,2024-01-24,transaction
U0016,2024-01-26,view_offers
U0016,2024-01-30,view_offers
U0017,2024-01-01,login
U0017,2024-01-03,login
U0017,2024-01-04,view_offers
U0017,2024-01-05,login
U0017,2024-01-09,login
U0017,2024-01-10,view_offers
U0017,2024-01-11,login
U0017,2024-01-12,login
U0017,2024-01-15,view_offers
U0017,2024-01-17,view_offers
U0017,2024-01-19,view_offers
U0017,2024-01-20,login
U0017,2024-01-21,view_offers
U0017,2024-01-22,view_offers
U0017,2024-01-27,login
U0017,2024-01-29,view_offers
U0018,2024-01-01,login
U0018,2024-01-02,transaction
U0018,2024-01-03,view_offers
U0018,2024-01-05,login
U0018,2024-01-06,transaction
U0018,2024-01-07,login
U0018,2024-01-08,transaction
U0018,2024-01-09,view_offers
U0018,2024-01-12,login
U0018,2024-01-13,view_offers
U0018,2024-01-14,transaction
U0018,2024-01-15,login
U0018,2024-01-16,login
U0018,2024-01-17,view_offers
U0018,2024-01-18,view_offers
U0018,2024-01-20,login
U0018,2024-01-21,login
U0018,2024-01-22,login
U0018,2024-01-23,login
U0018,2024-01-24,login
U0018,2024-01-26,transaction
U0018,2024-01-27,login
U0018,2024-01-30,view_offers
U0019,2024-01-09,transaction
U0019,2024-01-14,view_offers
U0019,2024-01-16,login
U0020,2024-01-01,login
U0020,2024-01-02,login
U0020,2024-01-04,view_offers
U0020,2024-01-06,login
U0020,2024-01-08,login
U0020,2024-01-12,login
U0020,2024-01-14,login
U0020,2024-01-17,transaction
U0020,2024-01-18,login
U0020,2024-01-20,login
U0020,2024-01-22,login
U0020,2024-01-23,transaction
U0020,2024-01-25,login
U0020,2024-01-26,login
U0020,2024-01-28,login
U0020,2024-01-29,login
U0021,2024-01-01,login
U0021,2024-01-03,login
U0021,2024-01-09,login
U0021,2024-01-12,view_offers
U0021,2024-01-16,login
U0021,2024-01-19,login
U0021,2024-01-20,login
U0021,2024-01-21,view_offers
U0021,2024-01-23,login
U0021,2024-01-25,view_offers
U0021,2024-01-27,view_offers
U0021,2024-01-29,transaction
U0021,2024-01-30,login
U0022,2024-01-01,view_offers
U0022,2024-01-05,login
U0022,2024-01-10,transaction
U0022,2024-01-11,login
U0022,2024-01-14,transaction
U0022,2024-01-15,transaction
U0022,2024-01-19,view_offers
U0022,2024-01-24,login
U0022,2024-01-27,login
U0023,2024-01-01,login
U0023,2024-01-04,login
U0023,2024-01-05,transaction
U0023,2024-01-06,view_offers
U0023,2024-01-07,view_offers
U0023,2024-01-08,view_offers
U0023,2024-01-09,login
U0023,2024-01-10,login
U0023,2024-01-11,login
U0023,2024-01-12,login
U0023,2024-01-14,login
U0023,2024-01-15,transaction
U0023,2024-01-16,login
U0023,2024-01-17,login
U0023,2024-01-18,login
U0023,2024-01-19,login
U0023,2024-01-20,transaction
U0023,2024-01-21,login
U0023,2024-01-23,login
U0023,2024-01-24,view_offers
U0023,2024-01-25,login
U0023,2024-01-26,login
U0023,2024-01-27,login
U0024,2024-01-01,login
U0024,2024-01-02,login
U0024,2024-01-03,login
U0024,2024-01-04,view_offers
U0024,2024-01-05,login
U0024,2024-01-06,view_offers
U0024,2024-01-08,login
U0024,2024-01-09,login
U0024,2024-01-10,login
U0024,2024-01-12,view_offers
U0024,2024-01-15,login
U0024,2024-01-17,view_offers
U0024,2024-01-19,login
U0024,2024-01-20,view_offers
U0024,2024-01-23,login
U0024,2024-01-24,view_offers
U0024,2024-01-25,login
U0024,2024-01-26,transaction
U0024,2024-01-29,login
U0025,2024-01-01,transaction
U0025,2024-01-02,login
U0025,2024-01-04,login
U0025,2024-01-07,view_offers
U0025,2024-01-10,login
U0025,2024-01-11,login
U0025,2024-01-12,login
U0025,2024-01-14,view_offers
U0025,2024-01-15,login
U0025,2024-01-16,login
U0025,2024-01-18,login
U0025,2024-01-20,view_offers
U0025,2024-01-21,login
U0025,2024-01-23,transaction
U0025,2024-01-24,login
U0025,2024-01-25,transaction
U0025,2024-01-26,transaction
U0025,2024-01-28,login
U0025,2024-01-29,login
U0025,2024-01-30,login
U0026,2024-01-01,transaction
U0026,2024-01-04,transaction
U0026,2024-01-05,login
U0026,2024-01-06,view_offers
U0026,2024-01-07,login
U0026,2024-01-11,login
U0026,2024-01-15,login
U0026,2024-01-17,login
U0026,2024-01-18,login
U0026,2024-01-19,view_offers
U0026,2024-01-20,login
U0026,2024-01-22,view_offers
U0026,2024-01-25,login
U0026,2024-01-26,login
U0026,2024-01-27,login
U0026,2024-01-28,login
U0026,2024-01-30,login
U0027,2024-01-01,login
U0027,2024-01-02,login
U0027,2024-01-07,login
U0027,2024-01-08,transaction
U0027,2024-01-09,login
U0027,2024-01-10,login
U0027,2024-01-13,login
U0027,2024-01-14,view_offers
U0027,2024-01-18,login
U0027,2024-01-19,view_offers
U0027,2024-01-20,login
U0027,2024-01-22,login
U0027,2024-01-23,login
U0027,2024-01-27,login
U0027,2024-01-28,login
U0027,2024-01-29,transaction
U0028,2024-01-01,login
U0028,2024-01-02,login
U0028,2024-01-03,login
U0028,2024-01-04,view_offers
U0028,2024-01-05,login
U0028,2024-01-06,transaction
U0028,2024-01-08,login
U0028,2024-01-10,login
U0028,2024-01-11,login
U0028,2024-01-12,login
U0028,2024-01-13,view_offers
U0028,2024-01-14,view_offers
U0028,2024-01-15,login
U0028,2024-01-16,login
U0028,2024-01-17,login
U0028,2024-01-18,view_offers
U0028,2024-01-19,login
U0028,2024-01-20,login
U0028,2024-01-22,view_offers
U0028,2024-01-23,transaction
U0028,2024-01-24,login
U0028,2024-01-25,login
U0028,2024-01-27,view_offers
U0028,2024-01-30,view_offers
U0029,2024-01-02,login
U0029,2024-01-06,login
U0029,2024-01-16,login
U0029,2024-01-18,view_offers
U0029,2024-01-20,view_offers
U0029,2024-01-29,login
U0030,2024-01-01,view_offers
U0030,2024-01-05,login
U0030,2024-01-06,view_offers
U0030,2024-01-07,login
U0030,2024-01-09,view_offers
U0030,2024-01-10,view_offers
U0030,2024-01-11,login
U0030,2024-01-12,view_offers
U0030,2024-01-14,login
U0030,2024-01-17,view_offers
U0030,2024-01-18,login
U0030,2024-01-19,login
U0030,2024-01-20,transaction
U0030,2024-01-21,login
U0030,2024-01-22,view_offers
U0030,2024-01-24,login
U0030,2024-01-25,login
U0031,2024-01-02,transaction
U0031,2024-01-07,login
U0031,2024-01-13,login
U0031,2024-01-15,login
U0031,2024-01-18,login
U0031,2024-01-22,login
U0031,2024-01-26,login
U0032,2024-01-01,login
U0032,2024-01-03,login
U0032,2024-01-04,transaction
U0032,2024-01-06,login
U0032,2024-01-07,login
U0032,2024-01-08,login
U0032,2024-01-09,transaction
U0032,2024-01-11,view_offers
U0032,2024-01-12,transaction
U0032,2024-01-17,view_offers
U0032,2024-01-18,login
U0032,2024-01-19,login
U0032,2024-01-22,view_offers
U0032,2024-01-24,login
U0032,2024-01-26,login
U0032,2024-01-27,login
U0032,2024-01-30,login
U0033,2024-01-01,login
U0033,2024-01-02,view_offers
U0033,2024-01-03,login
U0033,2024-01-05,login
U0033,2024-01-06,login
U0033,2024-01-09,login
U0033,2024-01-10,transaction
U0033,2024-01-16,login
U0033,2024-01-18,view_offers
U0033,2024-01-19,login
U0033,2024-01-20,login
U0033,2024-01-22,login
U0033,2024-01-24,login
U0033,2024-01-26,view_offers
U0033,2024-01-27,login
U0033,2024-01-28,login
U0033,2024-01-29,view_offers
U0034,2024-01-01,login
U0034,2024-01-02,transaction
U0034,2024-01-03,login
U0034,2024-01-05,login
U0034,2024-01-08,login
U0034,2024-01-10,login
U0034,2024-01-11,login
U0034,2024-01-12,login
U0034,2024-01-13,view_offers
U0034,2024-01-14,login
U0034,2024-01-16,view_offers
U0034,2024-01-17,transaction
U0034,2024-01-21,view_offers
U0035,2024-01-01,login
U0035,2024-01-03,login
U0035,2024-01-04,transaction
U0035,2024-01-05,login
U0035,2024-01-06,login
U0035,2024-01-07,transaction
U0035,2024-01-08,transaction
U0035,2024-01-09,view_offers
U0035,2024-01-11,login
U0035,2024-01-12,login
U0035,2024-01-13,login
U0035,2024-01-15,login
U0035,2024-01-18,login
U0035,2024-01-19,login
U0035,2024-01-20,transaction
U0035,2024-01-21,login
U0035,2024-01-22,view_offers
U0035,2024-01-23,view_offers
U0035,2024-01-26,login
U0035,2024-01-27,view_offers
U0035,2024-01-28,login
U0035,2024-01-30,login
U0036,2024-01-01,login
U0036,2024-01-03,view_offers
U0036,2024-01-04,login
U0036,2024-01-05,login
U0036,2024-01-06,login
U0036,2024-01-07,login
U0036,2024-01-10,login
U0036,2024-01-13,view_offers
U0036,2024-01-14,login
U0036,2024-01-15,view_offers
U0036,2024-01-17,transaction
U0036,2024-01-18,login
U0036,2024-01-19,transaction
U0036,2024-01-20,transaction
U0036,2024-01-21,view_offers
U0036,2024-01-22,view_offers
U0036,2024-01-23,transaction
U0036,2024-01-24,view_offers
U0036,2024-01-29,login
U0036,2024-01-30,view_offers
U0037,2024-01-01,login
U0037,2024-01-02,view_offers
U0037,2024-01-07,view_offers
U0037,2024-01-08,login
U0037,2024-01-09,login
U0037,2024-01-10,view_offers
U0037,2024-01-11,login
U0037,2024-01-12,login
U0037,2024-01-14,login
U0037,2024-01-15,login
U0037,2024-01-17,transaction
U0037,2024-01-19,transaction
U0037,2024-01-20,login
U0037,2024-01-21,login
U0037,2024-01-22,login
U0037,2024-01-24,login
U0037,2024-01-25,login
U0037,2024-01-26,view_offers
U0037,2024-01-27,login
U0037,2024-01-28,login
U0037,2024-01-29,login
U0037,2024-01-30,login
U0038,2024-01-04,view_offers
U0038,2024-01-05,transaction
U0038,2024-01-06,login
U0038,2024-01-08,view_offers
U0038,2024-01-09,view_offers
U0038,2024-01-10,login
U0038,2024-01-12,login
U0038,2024-01-18,login
U0038,2024-01-21,login
U0038,2024-01-25,view_offers
U0038,2024-01-26,view_offers
U0038,2024-01-27,login
U0038,2024-01-30,login
U0039,2024-01-01,login
U0039,2024-01-02,transaction
U0039,2024-01-03,login
U0039,2024-01-04,login
U0039,2024-01-05,transaction
U0039,2024-01-06,login
U0039,2024-01-08,transaction
U0039,2024-01-10,transaction
U0039,2024-01-18,view_offers
U0039,2024-01-22,view_offers
U0039,2024-01-24,login
U0039,2024-01-27,transaction
U0040,2024-01-01,login
U0040,2024-01-03,login
U0040,2024-01-05,login
U0040,2024-01-08,view_offers
U0040,2024-01-19,transaction
U0040,2024-01-26,login
U0040,2024-01-27,login
U0041,2024-01-01,login
U0041,2024-01-03,view_offers
U0041,2024-01-04,login
U0041,2024-01-05,login
U0041,2024-01-08,login
U0041,2024-01-09,login
U0041,2024-01-11,transaction
U0041,2024-01-12,login
U0041,2024-01-13,login
U0041,2024-01-16,view_offers
U0041,2024-01-18,login
U0041,2024-01-22,login
U0041,2024-01-23,login
U0041,2024-01-26,transaction
U0041,2024-01-29,login
U0042,2024-01-01,transaction
U0042,2024-01-02,login
U0042,2024-01-06,view_offers
U0042,2024-01-08,login
U0042,2024-01-09,login
U0042,2024-01-10,login
U0042,2024-01-11,login
U0042,2024-01-12,transaction
U0042,2024-01-13,view_offers
U0042,2024-01-18,login
U0042,2024-01-19,view_offers
U0042,2024-01-20,transaction
U0042,2024-01-21,login
U0042,2024-01-24,transaction
U0042,2024-01-25,login
U0042,2024-01-26,view_offers
U0042,2024-01-29,login
U0042,2024-01-30,login
U0043,2024-01-01,view_offers
U0043,2024-01-04,view_offers
U0043,2024-01-05,view_offers
U0043,2024-01-08,login
U0043,2024-01-09,login
U0043,2024-01-10,transaction
U0043,2024-01-13,login
U0043,2024-01-14,view_offers
U0043,2024-01-15,login
U0043,2024-01-16,view_offers
U0043,2024-01-17,login
U0043,2024-01-19,login
U0043,2024-01-23,login
U0043,2024-01-25,view_offers
U0043,2024-01-27,view_offers
U0043,2024-01-29,login
U0043,2024-01-30,login
U0044,2024-01-01,login
U0044,2024-01-02,login
U0044,2024-01-04,transaction
U0044,2024-01-05,login
U0044,2024-01-09,transaction
U0044,2024-01-11,login
U0044,2024-01-17,login
U0044,2024-01-18,login
U0044,2024-01-23,login
U0045,2024-01-02,login
U0045,2024-01-03,login
U0045,2024-01-04,view_offers
U0045,2024-01-06,view_offers
U0045,2024-01-07,login
U0045,2024-01-09,login
U0045,2024-01-13,login
U0045,2024-01-15,login
U0045,2024-01-19,login
U0045,2024-01-20,login
U0045,2024-01-21,login
U0045,2024-01-22,transaction
U0045,2024-01-23,login
U0045,2024-01-24,view_offers
U0045,2024-01-25,login
U0045,2024-01-26,login
U0045,2024-01-27,login
U0045,2024-01-28,login
U0045,2024-01-30,login
U0046,2024-01-01,login
U0046,2024-01-03,login
U0046,2024-01-04,view_offers
U0046,2024-01-05,view_offers
U0046,2024-01-06,transaction
U0046,2024-01-07,login
U0046,2024-01-08,view_offers
U0046,2024-01-09,login
U0046,2024-01-14,login
U0046,2024-01-16,login
U0046,2024-01-17,login
U0046,2024-01-19,login
U0046,2024-01-20,transaction
U0046,2024-01-21,login
U0046,2024-01-27,view_offers
U0046,2024-01-28,login
U0046,2024-01-29,login
U0047,2024-01-03,login
U0047,2024-01-04,login
U0047,2024-01-05,view_offers
U0047,2024-01-07,login
U0047,2024-01-10,login
U0047,2024-01-12,view_offers
U0047,2024-01-14,login
U0047,2024-01-15,view_offers
U0047,2024-01-16,view_offers
U0047,2024-01-17,view_offers
U0047,2024-01-24,login
U0047,2024-01-25,login
U0047,2024-01-28,login
U0047,2024-01-29,login
U0048,2024-01-01,transaction
U0048,2024-01-03,login
U0048,2024-01-04,login
U0048,2024-01-05,transaction
U0048,2024-01-07,login
U0048,2024-01-08,transaction
U0048,2024-01-10,login
U0048,2024-01-12,view_offers
U0048,2024-01-13,login
U0048,2024-01-14,view_offers
U0048,2024-01-15,transaction
U0048,2024-01-16,login
U0048,2024-01-17,login
U0048,2024-01-19,login
U0048,2024-01-20,login
U0048,2024-01-22,login
U0048,2024-01-24,login
U0048,2024-01-27,login
U0048,2024-01-30,login
U0049,2024-01-02,view_offers
U0049,2024-01-05,transaction
U0049,2024-01-06,transaction
U0049,2024-01-12,view_offers
U0049,2024-01-14,login
U0049,2024-01-23,transaction
U0049,2024-01-27,login
U0049,2024-01-28,login
U0050,2024-01-01,login
U0050,2024-01-14,login
U0050,2024-01-15,login
U0050,2024-01-16,login
U0050,2024-01-18,login
U0050,2024-01-19,transaction
U0050,2024-01-20,login
U0050,2024-01-22,view_offers
U0050,2024-01-23,view_offers
U0050,2024-01-27,login
U0050,2024-01-28,login
U0051,2024-01-02,login
U0051,2024-01-07,login
U0051,2024-01-08,login
U0051,2024-01-10,transaction
U0051,2024-01-11,transaction
U0051,2024-01-13,view_offers
U0051,2024-01-17,login
U0051,2024-01-21,transaction
U0051,2024-01-23,login
U0051,2024-01-25,transaction
U0051,2024-01-26,login
U0051,2024-01-28,login
U0051,2024-01-29,view_offers
U0052,2024-01-04,transaction
U0052,2024-01-05,login
U0052,2024-01-10,login
U0052,2024-01-12,login
U0052,2024-01-15,view_offers
U0052,2024-01-17,view_offers
U0052,2024-01-18,view_offers
U0052,2024-01-23,login
U0052,2024-01-24,login
U0052,2024-01-25,login
U0052,2024-01-27,login
U0052,2024-01-28,view_offers
U0052,2024-01-30,transaction
U0053,2024-01-01,login
U0053,2024-01-10,login
U0053,2024-01-12,login
U0053,2024-01-13,login
U0053,2024-01-24,login
U0054,2024-01-04,login
U0054,2024-01-09,login
U0054,2024-01-12,login
U0054,2024-01-13,login
U0054,2024-01-18,login
U0054,2024-01-19,transaction
U0054,2024-01-24,login
U0054,2024-01-27,login
U0054,2024-01-28,login
U0055,2024-01-03,login
U0055,2024-01-04,login
U0055,2024-01-05,view_offers
U0055,2024-01-07,view_offers
U0055,2024-01-08,view_offers
U0055,2024-01-09,transaction
U0055,2024-01-10,view_offers
U0055,2024-01-11,view_offers
U0055,2024-01-12,login
U0055,2024-01-13,login
U0055,2024-01-15,login
U0055,2024-01-16,view_offers
U0055,2024-01-17,login
U0055,2024-01-18,login
U0055,2024-01-19,login
U0055,2024-01-20,view_offers
U0055,2024-01-21,transaction
U0055,2024-01-24,login
U0055,2024-01-25,transaction
U0055,2024-01-26,login
U0055,2024-01-27,login
U0055,2024-01-28,transaction
U0055,2024-01-29,login
U0055,2024-01-30,transaction
U0056,2024-01-02,view_offers
U0056,2024-01-03,view_offers
U0056,2024-01-04,transaction
U0056,2024-01-05,view_offers
U0056,2024-01-07,login
U0056,2024-01-09,login
U0056,2024-01-10,login
U0056,2024-01-11,view_offers
U0056,2024-01-12,login
U0056,2024-01-13,transaction
U0056,2024-01-14,login
U0056,2024-01-15,login
U0056,2024-01-16,login
U0056,2024-01-18,view_offers
U0056,2024-01-19,login
U0056,2024-01-21,login
U0056,2024-01-23,login
U0056,2024-01-25,login
U0056,2024-01-26,login
U0056,2024-01-28,view_offers
U0056,2024-01-29,login
U0057,2024-01-01,login
U0057,2024-01-03,login
U0057,2024-01-04,view_offers
U0057,2024-01-05,login
U0057,2024-01-06,login
U0057,2024-01-08,transaction
U0057,2024-01-09,login
U0057,2024-01-10,login
U0057,2024-01-11,transaction
U0057,2024-01-13,view_offers
U0057,2024-01-16,view_offers
U0057,2024-01-17,transaction
U0057,2024-01-18,login
U0057,2024-01-19,view_offers
U0057,2024-01-20,login
U0057,2024-01-22,view_offers
U0057,2024-01-24,login
U0057,2024-01-28,view_offers
U0057,2024-01-30,login
U0058,2024-01-05,login
U0058,2024-01-16,login
U0058,2024-01-17,login
U0058,2024-01-21,login
U0058,2024-01-30,view_offers
U0059,2024-01-01,login
U0059,2024-01-03,login
U0059,2024-01-05,login
U0059,2024-01-06,login
U0059,2024-01-08,transaction
U0059,2024-01-10,login
U0059,2024-01-11,transaction
U0059,2024-01-12,login
U0059,2024-01-16,view_offers
U0059,2024-01-19,login
U0059,2024-01-20,transaction
U0059,2024-01-21,login
U0059,2024-01-22,login
U0059,2024-01-23,login
U0059,2024-01-24,login
U0059,2024-01-26,transaction
U0059,2024-01-28,login
U0059,2024-01-30,login
U0060,2024-01-01,login
U0060,2024-01-02,login
U0060,2024-01-03,transaction
U0060,2024-01-05,login
U0060,2024-01-06,view_offers
U0060,2024-01-07,view_offers
U0060,2024-01-08,login
U0060,2024-01-10,login
U0060,2024-01-13,view_offers
U0060,2024-01-14,login
U0060,2024-01-16,view_offers
U0060,2024-01-17,transaction
U0060,2024-01-19,view_offers
U0060,2024-01-21,view_offers
U0060,2024-01-22,view_offers
U0060,2024-01-23,view_offers
U0060,2024-01-26,login
U0060,2024-01-28,login
U0060,2024-01-30,login
U0061,2024-01-01,transaction
U0061,2024-01-02,login
U0061,2024-01-03,view_offers
U0061,2024-01-04,login
U0061,2024-01-05,login
U0061,2024-01-10,login
U0061,2024-01-12,login
U0061,2024-01-13,login
U0061,2024-01-15,login
U0061,2024-01-17,transaction
U0061,2024-01-18,login
U0061,2024-01-19,view_offers
U0061,2024-01-21,view_offers
U0061,2024-01-22,login
U0061,2024-01-23,login
U0061,2024-01-24,view_offers
U0061,2024-01-28,view_offers
U0061,2024-01-29,view_offers
U0062,2024-01-01,view_offers
U0062,2024-01-09,login
U0062,2024-01-22,login
U0062,2024-01-26,login
U0063,2024-01-01,login
U0063,2024-01-02,view_offers
U0063,2024-01-03,view_offers
U0063,2024-01-04,transaction
U0063,2024-01-05,login
U0063,2024-01-07,login
U0063,2024-01-09,login
U0063,2024-01-12,view_offers
U0063,2024-01-13,login
U0063,2024-01-14,login
U0063,2024-01-15,login
U0063,2024-01-16,login
U0063,2024-01-17,login
U0063,2024-01-18,login
U0063,2024-01-19,login
U0063,2024-01-20,login
U0063,2024-01-22,view_offers
U0063,2024-01-23,view_offers
U0063,2024-01-24,login
U0063,2024-01-26,view_offers
U0063,2024-01-27,login
U0063,2024-01-28,login
U0063,2024-01-29,transaction
U0064,2024-01-01,login
U0064,2024-01-02,login
U0064,2024-01-03,login
U0064,2024-01-04,login
U0064,2024-01-05,view_offers
U0064,2024-01-06,view_offers
U0064,2024-01-08,login
U0064,2024-01-10,view_offers
U0064,2024-01-11,login
U0064,2024-01-13,login
U0064,2024-01-14,view_offers
U0064,2024-01-15,login
U0064,2024-01-16,transaction
U0064,2024-01-17,login
U0064,2024-01-19,view_offers
U0064,2024-01-24,login
U0064,2024-01-26,login
U0064,2024-01-27,login
U0064,2024-01-28,view_offers
U0064,2024-01-29,login
U0065,2024-01-09,login
U0065,2024-01-16,login
U0065,2024-01-17,view_offers
U0066,2024-01-03,transaction
U0066,2024-01-04,login
U0066,2024-01-06,view_offers
U0066,2024-01-07,login
U0066,2024-01-08,view_offers
U0066,2024-01-09,transaction
U0066,2024-01-10,login
U0066,2024-01-11,login
U0066,2024-01-13,login
U0066,2024-01-14,view_offers
U0066,2024-01-15,login
U0066,2024-01-17,transaction
U0066,2024-01-18,view_offers
U0066,2024-01-20,transaction
U0066,2024-01-24,view_offers
U0066,2024-01-25,login
